gsm,title,cell type,donorid,tetramer,qc pass,visit
GSM7953709,1_DR0401_Baseline_lib41011,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953710,1_DR0401_Baseline_lib41012,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953711,1_DR0401_Baseline_lib41013,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953712,1_DR0401_Baseline_lib41014,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953713,1_DR0401_Baseline_lib41015,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953714,1_DR0401_Baseline_lib41016,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953715,1_DR0401_Baseline_lib41017,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953716,1_DR0401_Baseline_lib41018,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953717,1_DR0401_Baseline_lib41019,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953718,1_DR0401_Baseline_lib41020,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953719,1_DR0401_Baseline_lib41021,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953720,1_DR0401_Baseline_lib41022,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953721,1_DR0401_Baseline_lib41023,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953722,1_DR0401_Baseline_lib41024,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953723,1_DR0401_Baseline_lib41025,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953724,1_DR0401_Baseline_lib41026,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953725,1_DR0401_Baseline_lib41027,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953726,1_DR0401_Baseline_lib41028,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953727,2_DR0701_Day 14_lib41099,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953728,2_DR0701_Day 14_lib41100,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953729,2_DR0701_Day 14_lib41101,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953730,2_DR0701_Day 14_lib41102,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953731,2_DR0701_Day 14_lib41103,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953732,2_DR0701_Day 14_lib41104,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953733,2_DR0701_Day 14_lib41105,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953734,2_DR0701_Day 14_lib41106,CD4 T cell,2,DR0701,TRUE,Day 14
