gene_id,ensembl_id,symbol,log2FC_HZ,padj_HZ
ENSG00000253320,ENSG00000253320,AGMO,-0.304570016511121,0.0020203919747246
ENSG00000162607,ENSG00000162607,ARHGAP26,0.267200508931898,0.002021853463846
ENSG00000246130,ENSG00000246130,GATA2,-0.513470174937841,0.0020915921138642
ENSG00000213639,ENSG00000213639,NUCKS1,-0.3006267037586,0.0021192668089261
ENSG00000154723,ENSG00000154723,LMAN1,0.342037751476314,0.0021527642937391
ENSG00000125746,ENSG00000125746,DBI,0.384950896283839,0.002209065880324
ENSG00000069275,ENSG00000069275,CACNB4,0.265329322326127,0.0022780582645081
ENSG00000005020,ENSG00000005020,ZFAND3,-0.447047929927898,0.0022780582645081
ENSG00000084070,ENSG00000084070,ALDH18A1,-0.374763319333126,0.0022780582645081
ENSG00000163681,ENSG00000163681,IDH2,-0.309750055369684,0.0022780582645081
ENSG00000179299,ENSG00000179299,SCAP,-0.454676730478894,0.0022976154316698
ENSG00000211899,ENSG00000211899,QTMAN,0.400584639908012,0.0023464070937958
ENSG00000149131,ENSG00000149131,CHST15,1.17690560323628,0.0023565049155661
ENSG00000147408,ENSG00000147408,HCG11,-0.355011368792444,0.0023565049155661
ENSG00000087206,ENSG00000087206,RTP4,-0.264721741372885,0.0023565049155661
ENSG00000155368,ENSG00000155368,PPM1H,0.585824965796635,0.0023565049155661
ENSG00000026950,ENSG00000026950,UIMC1,0.338427863522694,0.0023565049155661
ENSG00000185043,ENSG00000185043,RFLNB,0.43563220181265,0.0024284533637109
ENSG00000228223,ENSG00000228223,PACSIN2,0.486349412662725,0.0024284533637109
ENSG00000121964,ENSG00000121964,ELF2,-0.393723206833973,0.0024284533637109
ENSG00000059573,ENSG00000059573,ARAP3,0.329721372505845,0.0024646412412208
ENSG00000120318,ENSG00000120318,IRAK3,-0.346126474010348,0.0024646412412208
ENSG00000229628,ENSG00000229628,MPP7,0.741475828843925,
ENSG00000090889,ENSG00000090889,LY6E-DT,0.503492695783696,0.0024898168738006
ENSG00000283378,ENSG00000283378,KLHL9,-0.712007526023755,0.0024920612413629
ENSG00000182054,ENSG00000182054,BTN3A1,0.321059024505734,0.0025882275743747
ENSG00000182022,ENSG00000182022,KAT2A,-0.313467774040512,0.0026665070710442
ENSG00000136514,ENSG00000136514,KIF4A,0.877255575210299,0.0026665070710442
ENSG00000143797,ENSG00000143797,CIB1,-0.48991617359358,0.0026665070710442
ENSG00000156639,ENSG00000156639,MANBA,-0.409230521424107,0.0026665070710442
ENSG00000108773,ENSG00000108773,APC,0.572108610323765,
ENSG00000109381,ENSG00000109381,CNTNAP3C,-0.370956738050116,0.0027504178655236
ENSG00000114650,ENSG00000114650,PSMD3,-0.31582225844121,0.0027517175110031
ENSG00000239636,ENSG00000239636,GALNT7,0.673484603618405,
ENSG00000247317,ENSG00000247317,VMP1,0.481930118320523,0.0027930032138905
ENSG00000183049,ENSG00000183049,ADGRE2,-0.447953768309935,0.0027931762225866
ENSG00000116824,ENSG00000116824,MBOAT2,0.359416638799595,0.0027931762225866
ENSG00000073910,ENSG00000073910,CAMK1D,-0.359025577374139,0.0027931762225866
ENSG00000074695,ENSG00000074695,CD2,0.300823726825594,0.0028143156615049
ENSG00000090376,ENSG00000090376,RPLP1,-0.443184936199299,0.0028379129903565
ENSG00000198642,ENSG00000198642,ZSWIM6,0.47400045105911,0.0028629181999776
ENSG00000127507,ENSG00000127507,POLR2D,-0.338658823305383,0.0028629181999776
ENSG00000100266,ENSG00000100266,PDE8A,-0.312434506445817,0.0028629181999776
ENSG00000183688,ENSG00000183688,APOL3,-0.334038714269917,0.0028711514268202
ENSG00000109323,ENSG00000109323,MRPL41,-0.400858548300068,0.0029354946553897
ENSG00000150054,ENSG00000150054,MRPL24,-0.304156636634643,0.002941416945954
ENSG00000185345,ENSG00000185345,TMEM65,-0.214966716388469,0.0030106394817903
ENSG00000241772,ENSG00000241772,SET,-0.611968643095055,0.0030927485880391
