"symbol","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC01709","ENSG00000226715",76.3763191060589,0.806118540653965,0.225199072836318,3.57958196941547,0.00034414428922002,0.0222501358218961
"ZNF446","ENSG00000083838",3.27442202457749,0.805488931767913,0.352429394457668,2.28553277460704,0.0222816069168613,NA
"LOC105379507","ENSG00000280441",3104.07326106729,-0.805247633513986,0.296200295127253,-2.71859159751356,0.00655605006441373,0.100355902387874
"REM1","ENSG00000088320",2.68342467104241,0.804918527532092,0.399999523805577,2.01229871444379,0.0441884578775351,NA
"PFDN6","ENSG00000204220",35.8869955963764,0.804662956330482,0.166774723216337,4.8248495983812,1.40108955774363e-06,0.00086056088211245
"STEAP2","ENSG00000157214",3.06690141216993,0.803587241763226,0.391807969497311,2.05097217086785,0.0402696569394283,NA
"RPL17P5","ENSG00000230721",10.0159103792648,0.801628595046377,0.263864420985047,3.03803215323147,0.00238128545174545,NA
"MT2A","ENSG00000125148",830.971420573721,0.796094666235252,0.256152030408437,3.10789910572198,0.00188422382050702,0.0528048352435246
"PLAAT4","ENSG00000133321",346.971985220607,0.793706758736482,0.124366289872733,6.38200881885838,1.74779895845964e-10,8.58810148221786e-07
"LINC00229","ENSG00000234300",3.10298018460539,0.793038261670776,0.317294262622594,2.49937788069637,0.0124411570071855,NA
"RMI2","ENSG00000175643",68.992766544537,0.792377014735717,0.206107178683877,3.84449013273355,0.000120803345480553,0.0122811180395092
"RPS7P10","ENSG00000226525",3.73647557564956,0.789813654411794,0.397214662145215,1.98837991061632,0.0467696889059686,NA
"OLFML3","ENSG00000116774",7.19969019202909,0.788239477114893,0.270866152934454,2.91007004225307,0.00361347766168751,NA
"HINT1","ENSG00000169567",670.906421573659,0.784890678495356,0.246103607973508,3.18926928767271,0.00142632941458223,0.0458072372556791
"ANAPC15","ENSG00000110200",2.68454580280703,0.784526352847812,0.334314445371528,2.34667201405538,0.0189419206000706,NA
"TIMM10","ENSG00000134809",37.4326533921596,0.782434530222645,0.235445665632135,3.32320634623675,0.000889890613233011,0.0373146977460355
"TESK1","ENSG00000107140",2.56774223346369,0.781974082956593,0.392707599606474,1.99123745947417,0.0464547874202028,NA
"COA6-AS1","ENSG00000231663",6.52664736749372,0.781691913262124,0.249010574990815,3.13919163188535,0.00169414618247846,NA
"DBI","ENSG00000155368",202.009960615542,0.781517953877908,0.197240852513689,3.96225195702635,7.42461265016634e-05,0.00927510297255102
"UQCRQ","ENSG00000164405",206.675009816088,0.781164019246395,0.177954395600329,4.38968656329694,1.13514156180223e-05,0.0032810042671621
"BATF3","ENSG00000123685",8.69723069999956,0.779688590492825,0.240808410108499,3.23779634665387,0.00120456762971181,NA
"CISD3","ENSG00000277972",31.9474487536794,0.779333756820409,0.138026850516629,5.64624747940993,1.6398773996089e-08,2.68593697195943e-05
"MIR9-3HG","ENSG00000255571",6.85593294110519,0.775962672725493,0.221191235193066,3.50810768811972,0.000451306324924725,NA
"H1-2","ENSG00000187837",616.11459954618,0.775420044758099,0.173669769777416,4.46491088087418,8.01020868453714e-06,0.00268360195951732
"TMEM263-DT","ENSG00000260329",3.69752523985093,0.774741694420344,0.325375270777999,2.38107122452137,0.0172623739233428,NA
"KLHL17","ENSG00000187961",5.49829713098418,0.774545982184689,0.296235682353461,2.61462756961371,0.00893247962978795,NA
"MAGEE1","ENSG00000198934",5.83498924455158,0.774217952694282,0.253651455958909,3.05229059209384,0.00227102128038828,NA
"DTL","ENSG00000143476",33.0982058284974,0.772850665007694,0.184717890869621,4.18395132907398,2.86485472180127e-05,0.00515010042122835
"CEP55","ENSG00000138180",20.0455603058703,0.771729707466405,0.193810151199633,3.98188486356162,6.83709002142626e-05,0.0091957655210569
"TCF19","ENSG00000137310",10.0648957287938,0.771238160001756,0.224104701098081,3.44141892705864,0.000578671852463235,NA
"SDF2L1","ENSG00000128228",92.5085674620901,0.77049902193736,0.17319175089026,4.44882055858176,8.63431120740687e-06,0.0028284084779641
"LINC01871","ENSG00000235576",210.193969191044,0.767662892754654,0.251560272314825,3.05160622418922,0.00227620493282753,0.0576192012054018
"RPS7","ENSG00000171863",395.81095453383,0.762947986737957,0.237108235183911,3.21772032146494,0.0012921374553395,0.0434748989557998
"LOC124904631","ENSG00000273727",5.47984605499535,0.758679727765942,0.256023189906025,2.96332425216802,0.00304335795512994,NA
"FBXO5","ENSG00000112029",13.6778130109988,0.758091164432389,0.196046607101132,3.86689254989922,0.000110230966260762,0.011598473869192
"LPP-AS2","ENSG00000270959",2.89490049502171,0.756455939430428,0.317323266281655,2.38386535060748,0.0171318694813917,NA
"RPA3","ENSG00000106399",40.0049558184636,0.75638010732811,0.227002984100958,3.33202715516601,0.000862158431241146,0.0368427368107139
"S100A5","ENSG00000196420",3.32649502804972,0.755811287285812,0.322126579656255,2.34631767453759,0.0189599399321698,NA
"GINS2","ENSG00000131153",9.43612215235134,0.755684295429825,0.223301447176192,3.38414419156705,0.000714004953396802,NA
"WDR86-AS1","ENSG00000243836",4.9207228129352,0.755472846787857,0.321705007700339,2.34834033883477,0.0188572818820208,NA
"TXNDC17","ENSG00000129235",48.1407521257724,0.75523003287704,0.198649343969341,3.80182495338922,0.000143634195650152,0.013233197987993
"EEF1B2","ENSG00000114942",248.03202284578,0.753124725245566,0.258996624323096,2.90785537152812,0.00363916600115758,0.0734862274288547
"BOLA2","ENSG00000169627",94.1583071514209,0.750812182610368,0.16497044641759,4.55119204023875,5.33428316756411e-06,0.00182866670169913
"SOWAHC","ENSG00000198142",4.0082782900853,0.749911299942753,0.292631004662773,2.56265155774231,0.0103876239775599,NA
"ROMO1","ENSG00000125995",168.084915471121,0.745941932296359,0.257936189526895,2.89196306134692,0.00382842955759444,0.0761883247101191
"IGFN1","ENSG00000163395",2.64934814250582,-0.744374122970595,0.367484579088697,-2.02559281485097,0.0428065284515308,NA
"CLSPN","ENSG00000092853",50.4615303776426,0.743336282016469,0.173265309343599,4.29016220749864,1.78542663369802e-05,0.00387043735402096
"IFI35","ENSG00000068079",61.0190747762473,0.737467303044515,0.200250112791012,3.68273102454709,0.000230748590841459,0.0176241708683624
"ABCG8","ENSG00000143921",6.87698703978405,0.735481310209956,0.266345279477697,2.76138293741205,0.00575571461176877,NA
"NXT2","ENSG00000101888",7.99921516827553,0.733808617054039,0.202634319022991,3.62134420562185,0.000293076275693445,NA
"ANTKMT","ENSG00000103254",6.17572046179906,0.731419822408349,0.230272595446441,3.17632161564995,0.00149155489926966,NA
"ESCO2","ENSG00000171320",13.9303278136653,0.72746637175406,0.219000324394774,3.32175933421321,0.000894518125643092,0.0373146977460355
"DUSP5","ENSG00000138166",30.0503506908536,0.726327654305098,0.168061414223797,4.32179901412641,1.54762134834389e-05,0.00359518125157584
"H4C3","ENSG00000197061",999.728387975088,0.7254983640676,0.217953979766061,3.32867683740535,0.000872595895142503,0.0371761158679065
"RPLP0","ENSG00000089157",703.919047717556,0.725488724421985,0.179345846432191,4.04519390247649,5.22798344264929e-05,0.00786384733960135
"SERPINB2","ENSG00000197632",3.41736183077643,0.724355745926995,0.318153289416959,2.27675076770205,0.02280111299104,NA
"RN7SL832P","ENSG00000243819",10.3671820841676,0.722254911948182,0.194623529191227,3.71103594179783,0.000206412790746115,NA
"PDILT","ENSG00000169340",4.8922656284669,0.7216790199974,0.311242806279949,2.31870104444528,0.0204112518622268,NA
"PIP","ENSG00000159763",2.9881890846272,-0.721288860521458,0.297939688223434,-2.42092238473628,0.0154811823134715,NA
"GBP4","ENSG00000162654",316.211682504077,0.719965522642811,0.200130375596183,3.59748249358975,0.000321312114662617,0.021431954218288
"LOC101927914","ENSG00000234210",3.8836488603979,-0.719673151404671,0.287468041323938,-2.50348925080578,0.01229754158898,NA
"SYCP2L","ENSG00000153157",26.8898612787623,-0.71836906777446,0.318708727570291,-2.2539987318547,0.0241962477544416,0.194798955842831
